"@Lesson","@Sequence","Chinese (traditional)","Chinese (simplified)","pinyin","English","part of speech"
"BLCU Reader Chapter 35","53","奮鬥","奋斗","fèndòu","struggle","V"
"BLCU Reader Chapter 35","54","美德","美德","měidé","virtue","N"
"BLCU Reader Chapter 36","1","季節","季节","jìjié","season","N"
"BLCU Reader Chapter 36","2","季","季","jì","season","N"
"BLCU Reader Chapter 36","3","氣候","气候","qìhòu","climate","N"
"BLCU Reader Chapter 36","4","複雜","复杂","fùzá","complicated","A"
"BLCU Reader Chapter 36","5","熱帶","热带","rèdài","the tropics; torrid zone","N"
"BLCU Reader Chapter 36","6","寒帶","寒带","hándài","frigid zone; the arctic","N"
"BLCU Reader Chapter 36","7","各","各","gè","each; every","Pr"
"BLCU Reader Chapter 36","8","暖氣","暖气","nuǎnqì","heating","N"
"BLCU Reader Chapter 36","9","羽絨服","羽绒服","yǔróngfú","down coat","N"
"BLCU Reader Chapter 36","10","有時候","有时候","yǒushí(hou)","sometimes","Adv"
"BLCU Reader Chapter 36","11","動","动","dòng","move","V"
"BLCU Reader Chapter 36","12","裙子","裙子","qúnzi","skirt","N"
"BLCU Reader Chapter 36","13","最好","最好","zuìhǎo","had better; it would be best","Adv"
"BLCU Reader Chapter 36","14","涼快","凉快","liángkuai","cool","A"
"BLCU Reader Chapter 36","15","了","了","liǎo","to end up","V"
"BLCU Reader Chapter 36","16","除了…以外","除了…以外","chúle…yǐwài","except; besides",""
"BLCU Reader Chapter 36","17","路線","路线","lùxiàn","route; itinerary","N"
"BLCU Reader Chapter 36","18","草原","草原","cǎoyuán","grassland","N"
"BLCU Reader Chapter 36","19","選擇","选择","xuǎnzé","select/choice","V, N"
"BLCU Reader Chapter 36","20","內蒙","内蒙","nèiměng","Inner Mongolia","PN"
"BLCU Reader Chapter 36","21","東北","东北","dōngběi","the Northeast","PN"
"BLCU Reader Chapter 36","22","現代","现代","xiàndài","modern","N"
"BLCU Reader Chapter 36","23","偉大","伟大","wěidà","great","A"
"BLCU Reader Chapter 36","24","詩人","诗人","shīrén","poet","N"
"BLCU Reader Chapter 36","25","小時候","小时候","xiǎoshíhou","in one's childhood","N"
"BLCU Reader Chapter 36","26","背","背","bèi","recite from memory","V"
"BLCU Reader Chapter 36","27","床前明月光","床前明月光","chuángqián míngyuè guāng","in front of the bed, the light of the bright moon shines",""
"BLCU Reader Chapter 36","28","疑是地上霜","疑是地上霜","yíshì dìshàng shuāng","I suspect there is frost on the ground",""
"BLCU Reader Chapter 36","29","舉頭望明月","举头望明月","jǔtóu wàng míngyuè","I raise my head and gaze at the bright moon",""
"BLCU Reader Chapter 36","30","低頭思故鄉","低头思故乡","dītóu sī gùxiāng","I lower my hed and think of my beloved hometown",""
"BLCU Reader Chapter 36","31","熟","熟","shú","familiar","A"
"BLCU Reader Chapter 36","32","頁","页","yè","page","M"
"BLCU Reader Chapter 36","33","家書抵萬金","家书抵万金","jiāshū dǐ wànjīn","a letter from home is worth a fortune in gold",""
"BLCU Reader Chapter 36","34","珍貴","珍贵","zhēnguì","valuable; precious","A"
"BLCU Reader Chapter 36","35","封","封","fēng","(measure word for letters)","M"
"BLCU Reader Chapter 36","36","唐詩選","唐诗选","tángshīxuǎn","Selected Tang Poems","PN"
"BLCU Reader Chapter 36","37","杜甫","杜甫","dùfǔ","Du Fu (great poet of the Tang Dynasty)","PN"
"BLCU Reader Chapter 36","38","莎士比亞","莎士比亚","shāshìbǐyà","William Shakespeare","PN"
"BLCU Reader Chapter 36","39","僧敲月下門","僧敲月下门","sēng qiāo yuèxià mén","a monk knocks on a gate under the moonlight",""
"BLCU Reader Chapter 36","40","敲","敲","qiāo","knock","V"
"BLCU Reader Chapter 36","41","毛驢","毛驴","máolǘ","donkey","N"
"BLCU Reader Chapter 36","42","描寫","描写","miáoxiě","describe","V"
"BLCU Reader Chapter 36","43","鳥宿池邊樹","鸟宿池边树","niǎo sù chíbiān shù","a bird spends the night on a tree by the side of the pool",""
"BLCU Reader Chapter 36","44","鳥","鸟","niǎo","bird","N"
"BLCU Reader Chapter 36","45","寺廟","寺庙","sìmiào","temple","N"
"BLCU Reader Chapter 36","46","推","推","tuī","push","V"
"BLCU Reader Chapter 36","47","轎子","轿子","jiàozi","sedan chair","N"
"BLCU Reader Chapter 36","48","經過","经过","jīngguò","pass; go through","V"
"BLCU Reader Chapter 36","49","官","官","guān","government official","N"
"BLCU Reader Chapter 36","50","拉","拉","lā","pull; drag","V"
"BLCU Reader Chapter 36","51","思考","思考","sīkǎo","think deeply","V"
"BLCU Reader Chapter 36","52","賈島","贾岛","jiǎdǎo","Ja Dao (Chinese poet of the Tang Dynasty)","PN"
"BLCU Reader Chapter 37","1","埋單","埋单","máidān","pay a bill","VO"
"BLCU Reader Chapter 37","2","晚飯","晚饭","wǎnfàn","supper, dinner","N"
"BLCU Reader Chapter 37","3","越…越…","越…越…","yuè…yuè…","the more... the more...",""
"BLCU Reader Chapter 37","4","餐廳","餐厅","cāntīng","dining hall, dining room","N"
"BLCU Reader Chapter 37","5","味道","味道","wèidao","taste, flavor","N"
"BLCU Reader Chapter 37","6","帳單","帐单","zhàngdān","bill","N"
"BLCU Reader Chapter 37","7","帳","帐","zhàng","bill; account","N"
"BLCU Reader Chapter 37","8","單","单","dān","list","N"
"BLCU Reader Chapter 37","9","回","回","huí","(measure word for things or the times of an action)","M"
"BLCU Reader Chapter 37","10","搶","抢","qiǎng","snatch; make efforts to be the first; fight for","V"
"BLCU Reader Chapter 37","11","約","约","yuē","to ask or invite in advance","V"
"BLCU Reader Chapter 37","12","由","由","yóu","by","Prep"
"BLCU Reader Chapter 37","13","明白","明白","míngbai","understand; realize","A, V"
"BLCU Reader Chapter 37","14","ＡＡ制","ＡＡ制","aa zhì","(to go) dutch","N"
"BLCU Reader Chapter 37","15","請客","请客","qǐngkè","invite someone to dinner (with the intent that they pay)","VO"
"BLCU Reader Chapter 37","16","笑話","笑话","xiàohua","joke","N"
"BLCU Reader Chapter 37","17","球場","球场","qiúchǎng","field or court for ball games","N"
"BLCU Reader Chapter 37","18","橄欖球","橄榄球","gǎnlǎnqiú","American football","N"
"BLCU Reader Chapter 37","19","大方","大方","dàfang","generous","A"
"BLCU Reader Chapter 37","20","事先","事先","shìxiān","in advance, beforehand","N"
"BLCU Reader Chapter 37","21","最後","最后","zuìhòu","final, last","N"
"BLCU Reader Chapter 37","22","羊肉","羊肉","yángròu","mutton","N"
"BLCU Reader Chapter 37","23","班","班","bān","class","N"
"BLCU Reader Chapter 37","24","烤全羊","烤全羊","kǎo quán yáng","whole roasted lamb","N"
"BLCU Reader Chapter 37","25","按","按","àn","according to","Prep"
"BLCU Reader Chapter 37","26","抬","抬","tái","lift; raise","V"
"BLCU Reader Chapter 37","27","舉","举","jǔ","hold up; raise","V"
"BLCU Reader Chapter 37","28","酒杯","酒杯","jiǔbēi","wine cup","N"
"BLCU Reader Chapter 37","29","民歌","民歌","míngē","folk song","N"
"BLCU Reader Chapter 37","30","飯店","饭店","fàndiàn","hotel; restaurant","N"
"BLCU Reader Chapter 37","31","首先","首先","shǒuxiān","first of all; firstly","Adv"
"BLCU Reader Chapter 37","32","敬酒","敬酒","jìngjiǔ","propose a toast; offer a cup of wine","VO"
"BLCU Reader Chapter 37","33","敬","敬","jìng","respect; politely offer","V"
"BLCU Reader Chapter 37","34","受","受","shòu","receive","V"
"BLCU Reader Chapter 37","35","尊敬","尊敬","zūnjìng","respect; honor","V"
"BLCU Reader Chapter 37","36","然後","然后","ránhòu","then; after that","Adv"
"BLCU Reader Chapter 37","37","接著","接着","jiēzhe","follow; carry on/then","V, Conj"
"BLCU Reader Chapter 37","38","愉快","愉快","yúkuài","joyful, cheerful","A"
"BLCU Reader Chapter 37","39","蒙族","蒙族","měngzú","Mongolian ethnic group","PN"
"BLCU Reader Chapter 37","40","新疆","新疆","xīnjiāng","Xinjiang (autonomous region of China)","PN"
"BLCU Reader Chapter 37","41","竹子","竹子","zhúzi","bamboo","N"
"BLCU Reader Chapter 37","42","主任","主任","zhǔrén","master","N"
"BLCU Reader Chapter 37","43","阿姨","阿姨","āyí","house maid","N"
"BLCU Reader Chapter 37","44","肉絲炒竹筍","肉丝炒竹笋","ròusī chǎo zhúsǔn","stir-fried shredded pork with bamboo shoots",""
"BLCU Reader Chapter 37","45","肉絲","肉丝","ròusī","shredded pork","N"
"BLCU Reader Chapter 37","46","炒","炒","chǎo","stir-fry","V"
"BLCU Reader Chapter 37","47","竹筍","竹笋","zhúsǔn","bamboo shoots","N"
"BLCU Reader Chapter 37","48","詞典","词典","cídiǎn","dictionary","N"
"BLCU Reader Chapter 37","49","挖","挖","wā","dig","V"
"BLCU Reader Chapter 37","50","計劃生育","计划生育","jìhuà shēngyù","family planning","N"
"BLCU Reader Chapter 37","51","計劃","计划","jìhuà","plan","V"
"BLCU Reader Chapter 37","52","生於","生于","shēngyù","give birth","V"
"BLCU Reader Chapter 37","53","優生優育","优生优育","yōushēng yōuyù","healthy birth and sound care",""
"BLCU Reader Chapter 37","54","優","优","yōu","excellent","A"
"BLCU Reader Chapter 37","55","巧雲","巧云","qiǎoyūn","Qiaoyun (name of a young maid)","PN"
"BLCU Reader Chapter 38","1","太太","太太","tàitai","Mrs.; madam","N"
"BLCU Reader Chapter 38","2","嫁","嫁","jià","(of a woman) marry","V"
"BLCU Reader Chapter 38","3","新婚","新婚","xīnhūn","newly-married","A"
"BLCU Reader Chapter 38","4","幸福","幸福","xìngfú","happy","A"
"BLCU Reader Chapter 38","5","政府","政府","zhèngfǔ","government","N"
"BLCU Reader Chapter 38","6","登記","登记","dēngjì","register","V"
"BLCU Reader Chapter 38","7","結婚證","结婚证","jiéhūnzhèng","marriage certificate","N"
"BLCU Reader Chapter 38","8","喜糖","喜糖","xǐtáng","wedding candy","N"
"BLCU Reader Chapter 38","9","舉行","举行","jǔxíng","hold (a meeting or ceremony)","V"
"BLCU Reader Chapter 38","10","婚禮","婚礼","hūnlǐ","wedding ceremony","N"
"BLCU Reader Chapter 38","11","貼","贴","tiē","paste; stick","V"
"BLCU Reader Chapter 38","12","紅雙喜字","红双喜字","hóng shuāngxǐ zì","the red 囍 character","IE"
"BLCU Reader Chapter 38","13","雙喜","双喜","shuāngxǐ","double happiness","N"
"BLCU Reader Chapter 38","14","雙","双","shuāng","pair","M"
"BLCU Reader Chapter 38","15","新娘","新娘","xīnniáng","bride","N"
"BLCU Reader Chapter 38","16","花轎","花轿","huājiào","bridal sedan chair","N"
"BLCU Reader Chapter 38","17","宴席","宴席","yànxí","banquet; feast","N"
"BLCU Reader Chapter 38","18","客人","客人","kèren","guest","N"
"BLCU Reader Chapter 38","19","教堂","教堂","jiàotáng","church; cathedral","N"
"BLCU Reader Chapter 38","20","親戚","亲戚","qīnqi","relative; family member","N"
"BLCU Reader Chapter 38","21","表姐","表姐","biǎojiě","older female cousin","N"
"BLCU Reader Chapter 38","22","只是","只是","zhǐshì","only; just","Adv"
"BLCU Reader Chapter 38","23","岳父","岳父","yuèfù","father-in-law (wife's father)","N"
"BLCU Reader Chapter 38","24","岳母","岳母","yuèmǔ","mother-in-law (wife's mother)","N"
"BLCU Reader Chapter 38","25","傑克","杰克","jiékè","Jack (a male Australian character in the NPCR textbook)","PN"
"BLCU Reader Chapter 38","26","李玉蘭","李玉兰","lǐ yùlán","Li Yulan (a female Chinese character in the NPCR textbook)","PN"
"BLCU Reader Chapter 38","27","開口","开口","kāikǒu","open one's mouth; start to talk (in an embarrassing manner)","VO"
"BLCU Reader Chapter 38","28","口","口","kǒu","mouth","N"
"BLCU Reader Chapter 38","29","商量","商量","shāngliang","discuss; talk over","V"
"BLCU Reader Chapter 38","30","倆","俩","liǎ","two (people)","Num"
"BLCU Reader Chapter 38","31","腦筋","脑筋","nǎojīn","brain; mind; way of thinking","N"
"BLCU Reader Chapter 38","32","規矩","规矩","guīju","rules; customs; manners","N"
"BLCU Reader Chapter 38","33","生氣","生气","shēngqì","get angry","VO"
"BLCU Reader Chapter 38","34","大事","大事","dàshì","important matter; major issue","N"
"BLCU Reader Chapter 38","35","鄰居","邻居","línjū","neighbor","N"
"BLCU Reader Chapter 38","36","衚衕","胡同","hútòng","lane; alley","N"
"BLCU Reader Chapter 38","37","批評","批评","pīpíng","criticize","V"
"BLCU Reader Chapter 38","38","決定","决定","juédìng","decide; make up one's mind","V"
"BLCU Reader Chapter 38","39","廚師","厨师","chúshī","cook; chef","N"
"BLCU Reader Chapter 38","40","姑爺","姑爷","gūye","son-in-law","N"
"BLCU Reader Chapter 38","41","悉尼","悉尼","xīní","Sydney","PN"
"BLCU Reader Chapter 38","42","慶祝","庆祝","qìngzhù","celebrate","V"
"BLCU Reader Chapter 38","43","走馬燈","走马灯","zǒumǎdēng","lantern with revolving paper-cut figures","N"
"BLCU Reader Chapter 38","44","燈","灯","dēng","lamp; lantern","N"
"BLCU Reader Chapter 38","45","對聯","对联","duìlián","antithetical couplet","N"
"BLCU Reader Chapter 38","46","上聯","上联","shànglián","the first line of a couplet","N"
"BLCU Reader Chapter 38","47","下聯","下联","xiàlián","second line of a couplet","N"
"BLCU Reader Chapter 38","48","熄燈","熄灯","xī(dēng)","put out (a lamp)","V"
"BLCU Reader Chapter 38","49","對","对","duì","match","V"
"BLCU Reader Chapter 38","50","旗子","旗子","qízi","flag; banner","N"
"BLCU Reader Chapter 38","51","虎","虎","hǔ","tiger","N"
"BLCU Reader Chapter 38","52","飄揚","飘扬","piāoyáng","flutter; fly","V"
"BLCU Reader Chapter 38","53","飛虎旗","飞虎旗","fēihǔqí","flying tiger banner","N"
"BLCU Reader Chapter 38","54","捲","卷","juǎn","roll up","V"
"BLCU Reader Chapter 38","55","藏","藏","cáng","hide","V"
"BLCU Reader Chapter 38","56","中榜","中榜","zhòngbǎng","one's name is published in the lsit of successful candidates or applicants","VO"
"BLCU Reader Chapter 38","57","宋代","宋代","sòngdài","Song Dynasty","PN"
"BLCU Reader Chapter 38","58","王安石","王安石","wáng ānshí","Wang Anshi (statesman and writer of the Song Dynasty)","PN"
"BLCU Reader Chapter 39","1","總是","总是","zǒng(shì)","always","Adv"
"BLCU Reader Chapter 39","2","親愛","亲爱","qīn'ài","dear; beloved","A"
"BLCU Reader Chapter 39","3","終於","终于","zhōngyú","finally; eventually","Adv"
"BLCU Reader Chapter 39","4","好吃","好吃","hǎochī","tasty; good to eat","A"
"BLCU Reader Chapter 39","5","能幹","能干","nénggàn","able; capable","A"
"BLCU Reader Chapter 39","6","幹","干","gàn","to do; to work","V"
"BLCU Reader Chapter 39","7","誇獎","夸奖","kuājiǎng","to praise","V"
"BLCU Reader Chapter 39","8","誇","夸","kuā","to praise","V"
"BLCU Reader Chapter 39","9","獎","奖","jiǎng","to reward/prize","V, N"
"BLCU Reader Chapter 39","10","米飯","米饭","mǐfàn","(cooked) rice","N"
"BLCU Reader Chapter 39","11","餓","饿","è","hungry","A"
"BLCU Reader Chapter 39","12","滿","满","mǎn","full; filled","A"
"BLCU Reader Chapter 39","13","碗","碗","wǎn","bowl","N, M"
"BLCU Reader Chapter 39","14","炒雞丁","炒鸡丁","chǎojīdīng","fried chicken cubes","N"
"BLCU Reader Chapter 39","15","炒","炒","chǎo","to stir-fry","V"
"BLCU Reader Chapter 39","16","雞","鸡","jī","chicken","N"
"BLCU Reader Chapter 39","17","丁","丁","dīng","small cubes (""dice"") of meat or vegetable","N"
"BLCU Reader Chapter 39","18","開飯館","开饭馆","kāi(fànguǎn)","to operate or manage (a restaurant)","V"
"BLCU Reader Chapter 39","19","老闆","老板","lǎobǎn","boss; shopkeeper","N"
"BLCU Reader Chapter 39","20","打工","打工","dǎgōng","to work on odd jobs","VO"
"BLCU Reader Chapter 39","21","分工","分工","fēngōng","to divide the work","V"
"BLCU Reader Chapter 39","22","合作","合作","hézuò","to cooperate; to work together","V"
"BLCU Reader Chapter 39","23","華人","华人","huárén","Chinese; foreign citizens of Chinese origin","N"
"BLCU Reader Chapter 39","24","必須","必须","bìxū","must; have to","Adv"
"BLCU Reader Chapter 39","25","畢業","毕业","bìyè","to graduate","VO"
"BLCU Reader Chapter 39","26","別扭","别扭","bièniu","awkward; uncomfortable","A"
"BLCU Reader Chapter 39","27","改","改","gǎi","to alter; to change; to correct","V"
"BLCU Reader Chapter 39","28","究竟","究竟","jiūjìng","actually; exactly","Adv"
"BLCU Reader Chapter 39","29","初中","初中","chūzhōng","junior middle school","N"
"BLCU Reader Chapter 39","30","初","初","chū","preliminary; initial; first","A, Pref"
"BLCU Reader Chapter 39","31","高中","高中","gāozhōng","senior middle school","N"
"BLCU Reader Chapter 39","32","敢","敢","gǎn","dare","OpV"
"BLCU Reader Chapter 39","33","回信","回信","huíxìn","to write in reply/a letter in reply","VO, N"
"BLCU Reader Chapter 39","34","敲門","敲门","qiāo mén","to knock at the door","VO"
"BLCU Reader Chapter 39","35","打聽","打听","dǎting","to inquire; to ask about (sth.)","V"
"BLCU Reader Chapter 39","36","地址","地址","dìzhǐ","address","N"
"BLCU Reader Chapter 39","37","突然","突然","tūrán","suddenly; unexpectedly","A"
"BLCU Reader Chapter 39","38","見面","见面","jiànmiàn","to meet; to see","VO"
"BLCU Reader Chapter 39","39","面","面","miàn","face","N"
"BLCU Reader Chapter 39","40","瘦","瘦","shòu","thin","A"
"BLCU Reader Chapter 39","41","談","谈","tán","to talk; to discuss","V"
"BLCU Reader Chapter 39","42","心裡","心里","xīnli","in the heart; in (the) mind","N"
"BLCU Reader Chapter 39","43","心","心","xīn","heart; mind; feeling","N"
"BLCU Reader Chapter 39","44","理想","理想","lǐxiǎng","ideal","N, A"
"BLCU Reader Chapter 39","45","平常","平常","píngcháng","ordinary; common","A"
"BLCU Reader Chapter 39","46","研究生","研究生","yánjiūshēng","graduate student","N"
"BLCU Reader Chapter 39","47","實習","实习","shíxí","to practice; to do an internship","V"
"BLCU Reader Chapter 39","48","暑假","暑假","shǔjià","summer vacation","N"
"BLCU Reader Chapter 39","49","握手","握手","wòshǒu","to shake hands","VO"
"BLCU Reader Chapter 39","50","握","握","wò","to hold; to clasp","V"
"BLCU Reader Chapter 39","51","辭","辞","cí","to resign; to quit","V"
"BLCU Reader Chapter 39","52","寧靜致遠","宁静致远","níngjìng zhì yuǎn","tranquility delivers transcendence","IE"
"BLCU Reader Chapter 39","53","寧靜","宁静","níngjìng","tranquil; peaceful; quiet","A"
"BLCU Reader Chapter 39","54","溫暖","温暖","wēnnuǎn","warm","A"
"BLCU Reader Chapter 39","55","藍色","蓝色","lánsè","blue color","N"
"BLCU Reader Chapter 39","56","風衣","风衣","fēngyī","overcoat","N"
"BLCU Reader Chapter 39","57","引起","引起","yǐnqǐ","to give rise to; to cause; to arouse","V"
"BLCU Reader Chapter 39","58","沉思","沉思","chénsī","to be lost in thought","V"
"BLCU Reader Chapter 39","59","允許","允许","yǔnxǔ","to allow","V"
"BLCU Reader Chapter 39","60","痛苦","痛苦","tòngkǔ","pain; suffering","A"
"BLCU Reader Chapter 39","61","煮","煮","zhǔ","to boil; to cook","V"
"BLCU Reader Chapter 39","62","菜譜","菜谱","càipǔ","cookbook","N"
"BLCU Reader Chapter 39","63","羅嗦","罗嗦","luōsuo","long-winded; wordy","A"
"BLCU Reader Chapter 39","64","愚人節","愚人节","yúrén jié","April Fool's Day","PN"
"BLCU Reader Chapter 40","1","半邊天","半边天","bànbiāntiān","half the sky","IE"
"BLCU Reader Chapter 40","2","天","天","tiān","sky","N"
"BLCU Reader Chapter 40","3","全職","全职","quánzhí","full-time","N"
"BLCU Reader Chapter 40","4","職","职","zhí","post; occupation; profession","N"
"BLCU Reader Chapter 40","5","婦女","妇女","fùnǚ","woman","N"
"BLCU Reader Chapter 40","6","照顧","照顾","zhàogù","to look after; to take care of","V"
"BLCU Reader Chapter 40","7","家務","家务","jiāwù","housework; household chores","V"
"BLCU Reader Chapter 40","8","務","务","wù","affair; business","V"
"BLCU Reader Chapter 40","9","男人","男人","nánrén","man; manfolk","V"
"BLCU Reader Chapter 40","10","權利","权利","quánlì","right","V"
"BLCU Reader Chapter 40","11","發揮","发挥","fāhuī","to bring into play","V"
"BLCU Reader Chapter 40","12","作用","作用","zuòyòng","role; effect; function","N"
"BLCU Reader Chapter 40","13","社會","社会","shèhuì","society","N"
"BLCU Reader Chapter 40","14","不只","不只","bùzhǐ","not only","Conj"
"BLCU Reader Chapter 40","15","家庭","家庭","jiātíng","family; household","N"
"BLCU Reader Chapter 40","16","幾乎","几乎","jīhū","nearly; almost","Adv"
"BLCU Reader Chapter 40","17","雙職工","双职工","shuāngzhígōng","working couple; double-income couple","N"
"BLCU Reader Chapter 40","18","雙","双","shuāng","two; both","A"
"BLCU Reader Chapter 40","19","職工","职工","zhígōng","staff; workers","N"
"BLCU Reader Chapter 40","20","要是","要是","yàoshi","if; suppose","Conj"
"BLCU Reader Chapter 40","21","看不起","看不起","kànbuqǐ","to look down upon","IE"
"BLCU Reader Chapter 40","22","為了","为了","wèile","for; in order to","Prep"
"BLCU Reader Chapter 40","23","男女","男女","nánnǚ","men and women","N"
"BLCU Reader Chapter 40","24","男","男","nán","man; male","N"
"BLCU Reader Chapter 40","25","女","女","nǚ","woman; female","N"
"BLCU Reader Chapter 40","26","就業","就业","jiùyè","to be employed; to obtain employment","VO"
"BLCU Reader Chapter 40","27","公平","公平","gōngpíng","fair; just","A"
"BLCU Reader Chapter 40","28","方面","方面","fāngmiàn","aspect; respect","N"
"BLCU Reader Chapter 40","29","平等","平等","píngděng","equality/equal","N, A"
"BLCU Reader Chapter 40","30","單位","单位","dānwèi","unit (as an organization, a department, a division, a section, etc.)","N"
"BLCU Reader Chapter 40","31","競爭","竞争","jìngzhēng","to compete","V"
"BLCU Reader Chapter 40","32","機會","机会","jīhuì","chance; oppourtunity","N"
"BLCU Reader Chapter 40","33","只有","只有","zhǐyǒu","only","Conj"
"BLCU Reader Chapter 40","34","同樣","同样","tóngyàng","same; similar","A"
"BLCU Reader Chapter 40","35","地位","地位","dìwèi","position; status","N"
"BLCU Reader Chapter 40","36","擔負","担负","dānfù","to bear; to shoulder","V"
"BLCU Reader Chapter 40","37","擔","担","dān","to carry","V"
"BLCU Reader Chapter 40","38","負","负","fù","to shoulder","V"
"BLCU Reader Chapter 40","39","占","占","zhàn","to make up; to account for","V"
"BLCU Reader Chapter 40","40","副","副","fù","deputy; vice","A"
"BLCU Reader Chapter 40","41","總理","总理","zǒnglǐ","premier; prime minister","N"
"BLCU Reader Chapter 40","42","部長","部长","bùzhǎng","minister","N"
"BLCU Reader Chapter 40","43","紡織","纺织","fǎngzhī","spinning and weaving; textile","V"
"BLCU Reader Chapter 40","44","工人","工人","gōngrén","worker","N"
"BLCU Reader Chapter 40","45","護士","护士","hùshi","nurse","N"
"BLCU Reader Chapter 40","46","封建","封建","fēngjiàn","feudal","N"
"BLCU Reader Chapter 40","47","服從","服从","fūcóng","to obey; to submit to","V"
"BLCU Reader Chapter 40","48","事業","事业","shìyè","cause; undertaking","N"
"BLCU Reader Chapter 40","49","矛盾","矛盾","máodùn","contradiction","N"
"BLCU Reader Chapter 40","50","完全","完全","wánquán","complete; whole","A"
"BLCU Reader Chapter 40","51","報酬","报酬","bàochou","reward; pay","N"
"BLCU Reader Chapter 40","52","建築","建筑","jiànzhù","building; architecture/to contruct","N, V"
"BLCU Reader Chapter 40","53","黃牛","黄牛","huángniú","ox; cow","N"
"BLCU Reader Chapter 40","54","草房","草房","cǎofáng","thatched cottage","N"
"BLCU Reader Chapter 40","55","欠","欠","qiàn","to owe","V"
"BLCU Reader Chapter 40","56","生產隊長","生产队长","shēngchǎn duìzhǎng","production team leader","N"
"BLCU Reader Chapter 40","57","勇敢","勇敢","yǒnggǎn","brave","A"
"BLCU Reader Chapter 40","58","自信","自信","zìxìn","self-confident","A"
"BLCU Reader Chapter 40","59","糧食","粮食","liángshi","grain; cereal; food","N"
"BLCU Reader Chapter 40","60","副業","副业","fùyè","sideline; side-occupation","N"
"BLCU Reader Chapter 40","61","賺","赚","zhuàn","to make a profit; to gain","V"
"BLCU Reader Chapter 40","62","賠","赔","péi","to compensate; to pay for; to stand a loss","V"
"BLCU Reader Chapter 40","63","激烈","激烈","jīliè","intense; fierce","A"
"BLCU Reader Chapter 40","64","口袋","口袋","kǒudài","pocket","N"
"BLCU Reader Chapter 40","65","培訓","培训","péixùn","to train","V"
"BLCU Reader Chapter 40","66","職稱","职称","zhíchēng","professional title","N"
"BLCU Reader Chapter 40","67","婚姻","婚姻","hūnyīn","marriage","N"
"BLCU Reader Chapter 40","68","伊斯蘭","伊斯兰","yīsīlán","Islam","PN"
"BLCU Reader Chapter 41","1","律師","律师","lǜshī","lawyer","N"
"BLCU Reader Chapter 41","2","事務所","事务所","shìwùsuǒ","office","N"
"BLCU Reader Chapter 41","3","事務所","事务所","shìwù","work; general affairs","N"
"BLCU Reader Chapter 41","4","所","所","suǒ","office","N"
"BLCU Reader Chapter 41","5","熟悉","熟悉","shíxī","to be familiar with","V"
"BLCU Reader Chapter 41","6","想法","想法","xiǎngfǎ","idea; opinion","N"
"BLCU Reader Chapter 41","7","需要","需要","xūyào","to need; to want; to require/needs","V"
"BLCU Reader Chapter 41","8","大官司","大官司","dǎ guānsi","to go to court","VO"
"BLCU Reader Chapter 41","9","官司","官司","guānsi","lawsuit","N"
"BLCU Reader Chapter 41","10","法律","法律","fǎlǜ","law","N"
"BLCU Reader Chapter 41","11","同意","同意","tóngyì","to agree; to consent","V"
"BLCU Reader Chapter 41","12","公務員","公务员","gōngwùyuán","public servant","N"
"BLCU Reader Chapter 41","13","公務","公务","gōngwù","public affairs","N"
"BLCU Reader Chapter 41","14","法官","法官","fǎguān","judge","N"
"BLCU Reader Chapter 41","15","法","法","fǎ","law","N"
"BLCU Reader Chapter 41","16","官","官","guān","government official","N"
"BLCU Reader Chapter 41","17","國營","国营","guóyíng","state-operated","A"
"BLCU Reader Chapter 41","18","靠","靠","kào","to lean on; to depend on","V"
"BLCU Reader Chapter 41","19","平安","平安","píng'ān","safe and sound","A"
"BLCU Reader Chapter 41","20","代","代","dài","generation","N"
"BLCU Reader Chapter 41","21","分配","分配","fēnpèi","to distribute; to assign","V"
"BLCU Reader Chapter 41","22","即使","即使","jíshǐ","even; even if","Conj"
"BLCU Reader Chapter 41","23","關於","关于","guānyú","about; with regard to ","Prep"
"BLCU Reader Chapter 41","24","挑戰","挑战","tiǎozhàn","to challenge","V"
"BLCU Reader Chapter 41","25","滿意","满意","mǎnyì","satisfied; pleased","A"
"BLCU Reader Chapter 41","26","不管","不管","bùguǎn","no matter (what, how, etc.)","Conj"
"BLCU Reader Chapter 41","27","前途","前途","qiántú","the future; prospect","N"
"BLCU Reader Chapter 41","28","招聘","招聘","zhāopìn","to invite applications for a job","V"
"BLCU Reader Chapter 41","29","聘","聘","pìn","to invite sb. to a post (or job)","V"
"BLCU Reader Chapter 41","30","廣告","广告","guǎnggào","advertisement","N"
"BLCU Reader Chapter 41","31","苦","苦","kǔ","bitter/hardship; suffering","A, N"
"BLCU Reader Chapter 41","32","生意","生意","shēngyi","business; trade","N"
"BLCU Reader Chapter 41","33","總","总","zǒng","chief, general, total","A"
"BLCU Reader Chapter 41","34","休假","休假","xiūjià","to have (to take) a vacation","VO"
"BLCU Reader Chapter 41","35","事情","事情","shìqing","affair; matter; thing","N"
"BLCU Reader Chapter 41","36","急","急","jí","urgent; pressing; impatient","A"
"BLCU Reader Chapter 41","37","表演","表演","biǎoyǎn","to act; to play/performance","V, N"
"BLCU Reader Chapter 41","38","能力","能力","nénglì","ability; capability","N"
"BLCU Reader Chapter 41","39","出名","出名","chūmíng","to become famous","VO"
"BLCU Reader Chapter 41","40","成功","成功","chénggōng","to succeed/successful/success","V, A, N"
